,Title,Published_date,Views,Likes,Comments,Month
0,Mumbai Metro,09-08-2024,341286,28625,63,Aug
1,Main Aur Mumbai | Aakash Gupta | Stand-up Comedy,04-08-2024,12134530,488632,6142,Aug
2,Non Veg Joke & Gully Cricket | Bonus Jokes | Aakash Gupta | Stand-up Comedy,13-04-2024,6300668,345282,4660,Apr
3,Indian Cricket Fans & Virat Kohli | Aakash Gupta | Stand-up Comedy,06-04-2024,14299472,757898,10686,Apr
4,Vaccine cocktail,14-02-2024,2218423,168037,301,Feb
5,Australia NZ Tour Feb 2024 Announcement #aakashguptastandupcomedy #aakashgupta,13-02-2024,151666,8983,48,Feb
6,Narcotics | Stand-up Comedy | Aakash Gupta,07-01-2024,9049520,373714,3181,Jan
7,Toilet Roll | Aakash Gupta #standupcomedy #comedyshorts #aakashguptastandupcomedy,04-01-2024,843709,60116,88,Jan
8,German language | Aakash Gupta #standupcomedy #comedyshorts,28-12-2023,1027649,66161,122,Dec
9,Foreigner Buddhe | Aakash Gupta #standupcomedy #comedyshorts,24-12-2023,1994098,117933,129,Dec
10,My First Euro Trip | Stand-up Comedy by Aakash Gupta,22-12-2023,11857256,560571,5627,Dec
11,Angry Young Man | Aakash Gupta comedy Special | Teaser 2  #comedyshorts #standupcomedy #comedy,14-12-2023,736212,62232,62,Dec
12,Angry Young Man | Aakash Gupta comedy Special | Teaser 1 #standupcomedy #standup #comedyshorts,13-12-2023,397262,31022,37,Dec
13,Angry Young Man | Aakash Gupta | Stand-up Comedy Special | Official Trailer,11-12-2023,2217935,123614,1523,Dec
14,Road Trips | Aakash Gupta #standupcomedy #shorts,23-05-2023,10732647,548367,1658,May
15,French Cuisine | Aakash Gupta #standupcomedy #shorts,20-05-2023,3581205,213590,155,May
16,Cheenk | Aakash Gupta #shorts #standupcomedy,18-05-2023,14459615,795990,1484,May
17,Rumaal | Comedy Shorts | Aakash Gupta #standupcomedy #shorts,19-03-2023,16753711,990504,2498,Mar
18,God Bless | Aakash Gupta | #shortscomedy #standupcomedy,22-02-2023,11685079,716985,881,Feb
19,Cheenk | Stand-Up Comedy | Aakash Gupta,13-02-2023,17149002,965396,9277,Feb
20,Couple Goals Trailer | New Season | Aakash Gupta | WATCH FREE only on Amazon miniTV,08-02-2023,444253,12560,163,Feb
21,Australia & NZ Tour Announcement,05-10-2022,1043328,55205,247,Oct
22,I am a Chef | Aakash Gupta | Stand-Up Comedy | Crowd Work,21-04-2022,20230777,1080136,10757,Apr
23,Which Paan? | Aakash Gupta | #shorts #comedyshorts,01-03-2022,7131486,581379,958,Mar
24,Delhi Boys I Aakash Gupta | #Shorts,24-02-2022,5625375,417855,419,Feb
25,Watch Couple Goals season 3 on Amazon Mini TV for FREE,24-02-2022,1438814,67825,119,Feb
26,Paan | Stand-up Comedy by Aakash Gupta,20-02-2022,21968589,1286573,8420,Feb
27,Couple Goals Trailer | Aakash Gupta | Watch Now for FREE on Amazon miniTV l Web Series,14-02-2022,712252,33588,562,Feb
28,Reaction video #comedyshorts,12-12-2021,9518911,845190,1603,Dec
29,Aashiq Gupta | Sketch Comedy | Aakash Gupta,24-08-2021,1867648,141768,2666,Aug
30,Brother Nikar #shorts #comedyshorts,03-07-2021,5038358,292690,432,Jul
31,Natural Wiper #ShortsComedy,02-07-2021,5098471,188194,1422,Jul
32,Sarojini Nagar | Excuse Me Brother | Stand-Up Comedy by Aakash Gupta,25-02-2021,38255734,1687839,23955,Feb
33,Childhood Dreams | Aakash Gupta | Stand-up Comedy | Crowd Work,19-12-2020,38047059,1512573,12391,Dec
34,YouTube Gold Play Button | Aakash Gupta | 1 Million Subscribers,24-07-2020,815154,72634,1352,Jul
35,Gujarat | Stand-up Comedy Tour | Aftermovie | Aakash Gupta,04-07-2020,2380951,110745,1604,Jul
36,Delhi | Stand-up Comedy Tour | Aftermovie | Aakash Gupta,14-06-2020,5940776,333627,4116,Jun
37,Galti Karli Inse Baat Karke | Aakash Gupta | Stand-up Comedy | Crowd Work,06-06-2020,26526484,1062195,14207,Jun
38,Junior College | Aakash Gupta | Stand-up Comedy | Crowd Work,09-05-2020,33082509,1300905,11097,May
39,Man vs Wild ft. BEAR GUPTA | Sketch Comedy by Aakash Gupta,31-03-2020,6136965,400899,5282,Mar
40,Dogs | Stand-Up Comedy by Aakash Gupta,26-10-2019,33866833,1519245,18839,Oct
41,I am back - Stand Up Comedy by Aakash Gupta,17-10-2019,3861366,156093,881,Oct
42,Delhi Metro | Stand-Up Comedy by Aakash Gupta,25-07-2018,32543959,1117163,8664,Jul
43,"Relationships, Clubbing & Cocktails | Stand-Up Comedy by Aakash Gupta",28-06-2017,28568382,943516,4558,Jun
44,Train Journey & Honeymoon Trips | Stand-Up Comedy by Aakash Gupta,12-06-2017,25212710,851502,4375,Jun
45,CAREER LOOTERS | Indian Coaching Institutes | Sketch Comedy,12-05-2017,1042403,43524,561,May
46,Taxi Talkies | Manhoos Man | (Ep -1) | Sketch Comedy,27-04-2017,675148,28181,284,Apr
47,How to watch a Stand Up Comedy Show | A Tutorial by Aakash Gupta,06-01-2017,886647,36463,208,Jan
